id,category_alias,category_title,restaurant_id,restaurant_name,restaurant_price,restaurant_review_count,restaurant_rating,restaurant_phone,restaurant_distance,restaurant_coordinates_latitude,restaurant_coordinates_longitude,restaurant_location_city,restaurant_location_zip_code,restaurant_location_address1
19,austrian,Austrian,dXiRPNAnhCMOykD53SFsXQ,Aigner Gendarmenmarkt,€€€,120,4.0,+4930203751850,1477.6131229937992,52.5146991,13.3907825,Berlin,10117,Französischestr. 25
20,dimsum,Dim Sum,yqX-QbXxw3BCoBgnaqrOqw,Lecker Song,€,77,4.5,+493026374447,3744.1480658188448,52.544112,13.420731,Berlin,10437,Schliemannstr. 19
21,chinese,Chinese,7EsX1wNmWwAdYNXwurVtxA,Da Jia Le,€€,62,4.5,+493021459745,3454.808763708114,52.49421,13.36378,Berlin,10783,Goebenstr. 23
22,tradamerican,American (Traditional),OACJ6kJYAorqcI0_FfeSZg,Southern Vittles,,10,4.5,+4915229420749,3268.3678423708984,52.54142,13.41526,Berlin,10437,Lychener Str. 6
23,hotdogs,Fast Food,KP_8I0zN9s50fWWf-S6mgg,Burgermeister,€,715,4.0,+493023883840,5198.937930223258,52.5011,13.442463,Berlin,10997,Oberbaumstr. 8
24,burgers,Burgers,KP_8I0zN9s50fWWf-S6mgg,Burgermeister,€,715,4.0,+493023883840,5198.937930223258,52.5011,13.442463,Berlin,10997,Oberbaumstr. 8
25,singaporean,Singaporean,0kbsEXLJEdqCwSws7BRqXg,Taste,€,9,4.5,+4917672971948,3171.3641056350543,52.52411,13.32896,Berlin,10555,Alt-Moabit 54
26,japanese,Japanese,K3g3Htcj3bTYR1rdWK6oDg,Momiji,€€,12,5.0,+493055286406,4239.249644918006,52.50663,13.32044,Berlin,10623,Bleibtreustr. 52
27,korean,Korean,3jR9kN7g6vW1WuPBUe9bZg,Yam Yam,€€,266,4.0,+493024632485,2222.424074744964,52.5275688928154,13.4082897611297,Berlin,10119,Alte Schönhauser Str. 6
28,japanese,Japanese,vWnOzHkdNBxnVGe-Vbbjyw,Udagawa,€€,53,4.0,+49303123014,4925.257096880612,52.50634,13.30962,Berlin,10625,Kantstr. 118
29,korean,Korean,HKWblNIz05tlm7tH0ROblw,NaNum,,4,4.5,+491772084785,2722.1495188242216,52.5025789213273,13.394095435339,Berlin,10969,Lindenstr. 90
